Geometries_ID,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent,Percent_Category 
35001000604,Bernalillo,,0.26,4,102,4371,0.0233,3
35045000202,San Juan,,0.06,2,112,4892,0.0229,3
35013001806,Dona Ana,Anthony Berino Chaparral,0.47,6,142,6220,0.0228,3
35043940200,Sandoval,Other East,0.35,5,91,4009,0.0227,3
35001003400,Bernalillo,Comanche Carlysle,0.41,6,106,4670,0.0227,3
35013001706,Dona Ana,Sunland Park,0.45,6,88,3933,0.0224,3
35025001003,Lea,,0.11,3,101,4681,0.0216,3
35013001805,Dona Ana,Anthony Berino Chaparral,0.43,6,85,4127,0.0206,3
35001004603,Bernalillo,,0.18,3,74,3694,0.02,3
35001004735,Bernalillo,,0.19,3,45,2363,0.019,3
35053940000,Socorro,N/A,0.67,6,27,1444,0.0187,3
35001004738,Bernalillo,,0.18,3,105,5653,0.0186,3
35045000205,San Juan,Farmington Southeast,0.34,5,123,6723,0.0183,3
35045943201,San Juan,South,0.36,5,102,5685,0.0179,3
35009000500,Curry,Clovis West,0.31,5,43,2407,0.0179,3
35025000704,Lea,,0.05,2,48,2842,0.0169,3
35025000100,Lea,,0.21,4,52,3085,0.0169,3
35025000701,Lea,,0.08,2,28,1688,0.0166,3
35009000202,Curry,Clovis West,0.27,4,71,4388,0.0162,3
35001004734,Bernalillo,Arenal Unser,0.24,4,121,7566,0.016,3
35041000200,Roosevelt,"Roosevelt County/Curry County, Other",0.44,6,58,3647,0.0159,3
35001004739,Bernalillo,So. Ninetyeight,0.27,4,111,6995,0.0159,3
35045000302,San Juan,Farmington Southeast,0.19,3,53,3350,0.0158,3
35061970301,Valencia,SE,0.36,5,117,7474,0.0157,3
35025000300,Lea,Hobbs So.,0.32,5,67,4316,0.0155,3
35025001004,Lea,,0.1,3,61,3969,0.0154,3
35045000100,San Juan,Farmington Southeast,0.31,5,77,5106,0.0151,3
35006974201,Cibola,N/A,0.38,5,79,5251,0.015,3
35001004402,Bernalillo,Arenal Tapia,0.16,3,60,4109,0.0146,3
35001004737,Bernalillo,Chavez OneEighteenth,0.15,3,91,6270,0.0145,3
35001003719,Bernalillo,Academy Tramway,0.15,3,74,5162,0.0143,3
35013001802,Dona Ana,Anthony Berino Chaparral,0.42,6,96,6743,0.0142,3
35001004713,Bernalillo,Chavez OneEighteenth,0.12,3,101,7112,0.0142,3
35049001204,Santa Fe,Agua Fria Village,0.18,3,86,6110,0.0141,3
35045000401,San Juan,Farmington West/Kirtland/La Plata,0.2,3,74,5260,0.0141,3
35001000124,Bernalillo,Indian School Pennsylvania,0.16,3,51,3647,0.014,3
35009000100,Curry,Clovis West,0.38,5,71,5105,0.0139,3
35025000703,Lea,,0.08,2,36,2591,0.0139,3
35013001400,Dona Ana,Hatch and Surrounding Area,0.41,6,83,5977,0.0139,3
35053978200,Socorro,,0.18,3,23,1660,0.0139,3
35013001801,Dona Ana,South Valley,0.27,4,97,7020,0.0138,3
35009000400,Curry,Clovis East,0.42,6,67,4874,0.0137,3
35035940000,Otero,Other,0.32,5,53,3867,0.0137,3
35009000201,Curry,Clovis West,0.2,4,57,4223,0.0135,3
35009000301,Curry,Clovis East,0.2,4,86,6379,0.0135,3
35045000204,San Juan,Farmington North,0.12,3,30,2232,0.0134,3
35001003731,Bernalillo,Paseo Ventura,0.04,1,48,3606,0.0133,3
35025000502,Lea,Hobbs No.,0.22,4,91,6865,0.0133,3
35005000900,Chaves,Roswell N.W.,0.13,3,36,2723,0.0132,3
35001004741,Bernalillo,So. Ninetyeight,0.24,4,97,7442,0.013,3
35031943700,Mckinley,NW,0.37,5,49,3799,0.0129,3
35045000708,San Juan,Northeast/Bloomfield,0.25,4,58,4530,0.0128,3
35025000400,Lea,Hobbs So.,0.29,4,48,3771,0.0127,3
35045000301,San Juan,Farmington North,0.15,3,65,5128,0.0127,3
35013000800,Dona Ana,University District,0.3,4,45,3551,0.0127,3
35001001300,Bernalillo,Rio Bravo Second,0.35,5,60,4742,0.0127,3
35001000603,Bernalillo,Central Penn,0.47,6,68,5380,0.0126,3
